t,stock,v
1190,345,0.21
1191,348,0.23
1192,347,0.23
1193,347,0.22
1194,346,0.22
1195,345,0.22
1196,345,0.22
1197,344,0.22
1198,344,0.22
1199,343,0.22
1200,343,0.22
1201,344,0.21
1202,344,0.21
1203,347,0.23
1204,347,0.23
1205,347,0.23
1206,350,0.23
1207,350,0.23
1208,350,0.23
1209,349,0.23
1210,349,0.23
1211,349,0.19
1212,349,0.19
1213,349,0.2
1214,349,0.2
1215,350,0.2
1216,352,0.2
1217,352,0.2
1218,351,0.2
1219,350,0.2
1220,350,0.2
1221,354,0.21
1222,355,0.21
1223,356,0.21
1224,356,0.21
1225,355,0.19
1226,356,0.19
1227,355,0.19
1228,357,0.19
1229,355,0.2
1230,354,0.2
1231,353,0.2
1232,354,0.2
1233,355,0.2
1234,357,0.2
1235,358,0.19
1236,358,0.19
1237,361,0.2
1238,361,0.2
1239,361,0.2
1240,361,0.2
1241,360,0.19
1242,360,0.19
1243,360,0.19
1244,362,0.19
1245,363,0.2
1246,362,0.2
1247,362,0.19
1248,362,0.19
1249,361,0.19
1250,361,0.19
1251,359,0.18
1252,361,0.18
1253,360,0.19
1254,359,0.19
1255,358,0.18
1256,361,0.18
1257,361,0.19
1258,359,0.19
1259,359,0.2
1260,359,0.2
1261,359,0.19
1262,359,0.19
1263,359,0.18
1264,358,0.18
1265,358,0.19
1266,359,0.19
1267,362,0.18
1268,362,0.18
1269,362,0.19
1270,364,0.19
1271,365,0.21
1272,366,0.21
1273,366,0.21
1274,368,0.21
1275,368,0.2
1276,372,0.2
1277,373,0.19
1278,372,0.19
1279,373,0.21
1280,374,0.21
1281,375,0.21
1282,375,0.21
1283,375,0.19
1284,374,0.19
1285,374,0.18
1286,373,0.18
1287,375,0.19
1288,375,0.19
1289,376,0.18
1290,378,0.18
1291,378,0.19
1292,378,0.19
1293,378,0.19
1294,378,0.19
1295,381,0.2
1296,380,0.2
1297,380,0.18
1298,380,0.18
1299,380,0.17
1300,383,0.17
1301,387,0.2
1302,387,0.2
1303,387,0.2
1304,386,0.2
1305,391,0.2
1306,391,0.2
1307,391,0.2
1308,392,0.2
1309,394,0.21
1310,397,0.21
1311,402,0.23
1312,406,0.23
1313,409,0.23
1314,408,0.23
1315,407,0.21
1316,407,0.21
1317,410,0.21
1318,411,0.21
1319,411,0.21
1320,411,0.21
1321,412,0.21
1322,414,0.21
1323,415,0.21
1324,416,0.21
1325,416,0.2
1326,414,0.2
1327,414,0.19
1328,414,0.19
1329,415,0.2
1330,415,0.2
1331,416,0.18
1332,420,0.18
1333,420,0.2
1334,419,0.2
1335,417,0.18
1336,418,0.18
1337,419,0.18
1338,420,0.18
1339,423,0.18
1340,422,0.18
1341,422,0.17
1342,421,0.17
1343,423,0.17
1344,422,0.17
1345,423,0.17
1346,426,0.17
1347,428,0.17
1348,429,0.17
1349,428,0.17
1350,428,0.17
1351,428,0.18
1352,430,0.18
1353,429,0.18
1354,428,0.18
1355,427,0.16
1356,424,0.16
1357,422,0.17
1358,422,0.17
1359,421,0.16
1360,422,0.16
